=~=~=~=~=~=~=~=~=~=~	=~= Pu	TTY log 2026.03.01 09:43:08 =~=~=~=~=~=~=~=~=~=~=~=
0101Unknown command:	ww	
Continuous load outp	ut ena	bled
vca_load_estimation:	0.1668	
vca_load_estimation:	0.1639	
vca_load_estimation:	0.1666	
vca_load_estimation:	0.1651	
vca_load_estimation:	0.163	
vca_load_estimation:	0.1663	
vca_load_estimation:	0.1655	
vca_load_estimation:	0.1631	
vca_load_estimation:	0.1646	
vca_load_estimation:	0.1642	
vca_load_estimation:	0.1644	
vca_load_estimation:	0.165	
vca_load_estimation:	0.1685	
vca_load_estimation:	0.1655	
vca_load_estimation:	0.1624	
vca_load_estimation:	0.1646	
vca_load_estimation:	0.1659	
vca_load_estimation:	0.1633	
vca_load_estimation:	0.1639	
vca_load_estimation:	0.166	
vca_load_estimation:	0.1673	
vca_load_estimation:	0.1648	
vca_load_estimation:	0.1635	
vca_load_estimation:	0.1669	
vca_load_estimation:	0.1627	
vca_load_estimation:	0.1654	
vca_load_estimation:	0.164	
vca_load_estimation:	0.1658	
vca_load_estimation:	0.1672	
vca_load_estimation:	0.1636	
vca_load_estimation:	0.1641	
vca_load_estimation:	0.1661	
vca_load_estimation:	0.1654	
vca_load_estimation:	0.1636	
vca_load_estimation:	0.1652	
vca_load_estimation:	0.1637	
vca_load_estimation:	0.1621	
vca_load_estimation:	0.1649	
vca_load_estimation:	0.1641	
vca_load_estimation:	0.1625	
vca_load_estimation:	0.1631	
vca_load_estimation:	0.1637	
vca_load_estimation:	0.1639	
vca_load_estimation:	0.1653	
vca_load_estimation:	0.1645	
vca_load_estimation:	0.1658	
vca_load_estimation:	0.1635	
vca_load_estimation:	0.1656	
vca_load_estimation:	0.1598	
vca_load_estimation:	0.1647	
vca_load_estimation:	0.1652	
vca_load_estimation:	0.1616	
vca_load_estimation:	0.1629	
vca_load_estimation:	0.1632	
vca_load_estimation:	0.1619	
vca_load_estimation:	0.164	
vca_load_estimation:	0.1654	
vca_load_estimation:	0.1642	
vca_load_estimation:	0.4808	
vca_load_estimation:	0.4893	
vca_load_estimation:	0.4879	
vca_load_estimation:	0.4914	
vca_load_estimation:	0.4921	
vca_load_estimation:	0.4847	
vca_load_estimation:	0.457	
vca_load_estimation:	0.4306	
vca_load_estimation:	0.4059	
vca_load_estimation:	0.3825	
vca_load_estimation:	0.3606	
vca_load_estimation:	0.3397	
vca_load_estimation:	0.3203	
vca_load_estimation:	0.302	
vca_load_estimation:	0.2845	
vca_load_estimation:	0.2682	
