=~=~=~=~=~=~=~=~=~=~	=~= Pu	TTY log 2026.03.01 09:50:59 =~=~=~=~=~=~=~=~=~=~=~=
01Unknown command: w	e	
Continuous load outp	ut ena	bled
vca_load_estimation:	0.1642	
vca_load_estimation:	0.1662	
vca_load_estimation:	0.1652	
vca_load_estimation:	0.1667	
vca_load_estimation:	0.164	
vca_load_estimation:	0.1638	
vca_load_estimation:	0.1675	
vca_load_estimation:	0.1661	
vca_load_estimation:	0.168	
vca_load_estimation:	0.1665	
vca_load_estimation:	0.1664	
vca_load_estimation:	0.1642	
vca_load_estimation:	0.1669	
vca_load_estimation:	0.1668	
vca_load_estimation:	0.1681	
vca_load_estimation:	0.1652	
vca_load_estimation:	0.1658	
vca_load_estimation:	0.1657	
vca_load_estimation:	0.1691	
vca_load_estimation:	0.1628	
vca_load_estimation:	0.1647	
vca_load_estimation:	0.1667	
vca_load_estimation:	0.162	
vca_load_estimation:	0.1637	
vca_load_estimation:	0.1649	
vca_load_estimation:	0.1656	
vca_load_estimation:	0.1662	
vca_load_estimation:	0.1632	
vca_load_estimation:	0.1629	
vca_load_estimation:	0.1658	
vca_load_estimation:	0.1668	
vca_load_estimation:	0.1656	
vca_load_estimation:	0.1673	
vca_load_estimation:	0.1637	
vca_load_estimation:	0.1671	
vca_load_estimation:	0.1641	
vca_load_estimation:	0.1647	
vca_load_estimation:	0.1647	
vca_load_estimation:	0.1648	
vca_load_estimation:	0.1631	
vca_load_estimation:	0.1616	
vca_load_estimation:	0.1625	
vca_load_estimation:	0.1642	
vca_load_estimation:	0.1646	
vca_load_estimation:	0.1653	
vca_load_estimation:	0.1646	
vca_load_estimation:	0.1634	
vca_load_estimation:	0.1622	
vca_load_estimation:	0.1649	
vca_load_estimation:	0.1662	
vca_load_estimation:	0.1623	
vca_load_estimation:	0.1646	
vca_load_estimation:	0.1628	
vca_load_estimation:	0.1717	
vca_load_estimation:	0.1656	
vca_load_estimation:	0.1647	
vca_load_estimation:	0.166	
vca_load_estimation:	0.1652	
